DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2025-12-30,709G251174,IN001174P011,BSE,4.7,0.0,0.0,0.479,0.0,0.0,0.0,0.0,0.0,0.0,0.479,0.479,0.479
2025-12-29,75GS2034,IN0020040039,BSE,106.0,0.0,0.0,3.18,0.0,0.0,0.0,0.0,0.0,0.0,3.18,3.18,3.18
2025-12-24,71GS2034,IN0020240019,BSE,103.0,0.0,0.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,515.0,515.0
2025-12-19,91TB251225,IN002025X265,BSE,99.85,0.0,0.0,116.824,0.0,0.0,0.0,0.0,0.0,0.0,0.099,0.099,0.099
2025-12-30,91TB190226,IN002025X349,BSE,98.89,0.0,0.0,9.889,0.0,0.0,0.0,0.0,0.0,0.0,19.8,19.8,19.8
2025-12-30,91TB050326,IN002025X364,BSE,98.7,0.0,0.0,9.87,0.0,0.0,0.0,0.0,0.0,0.0,9.87,9.87,9.87
2025-12-24,91TB120326,IN002025X372,BSE,99.6,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,0.0,9.954500000000001,9.954500000000001,9.954500000000001
2025-12-22,182TB10126,IN002025Y149,BSE,97.0,0.0,0.0,23.511,0.0,0.0,0.0,0.0,0.0,0.0,23.511,23.511,23.511
2025-12-23,182TB15126,IN002025Y164,BSE,98.13,0.0,0.0,9.813,0.0,0.0,0.0,0.0,0.0,0.0,9.813,9.813,9.813
2025-12-29,182TB29126,IN002025Y180,BSE,96.0,0.0,0.0,9.658,0.0,0.0,0.0,0.0,0.0,0.0,9.658,9.658,9.658
2025-12-24,182TB11626,IN002025Y370,BSE,96.5,0.0,0.0,48.25,0.0,0.0,0.0,0.0,0.0,0.0,48.25,48.25,48.25
2025-12-29,182TB26626,IN002025Y396,BSE,96.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,9.6,9.6,9.6
2025-12-23,364T020426,IN002025Z013,BSE,95.91,0.0,0.0,9.592,0.0,0.0,0.0,0.0,0.0,0.0,9.592,9.592,9.592
2025-12-23,364TB16726,IN002025Z161,BSE,94.35,0.0,0.0,9.435,0.0,0.0,0.0,0.0,0.0,0.0,9.435,9.435,9.435
2025-12-24,74GJ26,IN1520230146,BSE,103.2,0.0,0.0,100.483,0.0,0.0,0.0,0.0,0.0,0.0,105.432,105.432,105.432
2025-12-30,727MAHSD36,IN2220250319,BSE,99.9,0.0,0.0,0.499,0.0,0.0,0.0,0.0,0.0,0.0,0.5175000000000001,0.5175000000000001,0.5175000000000001
2025-12-30,ANNVRPP,IN9075K01011,BSE,1.61,0.0,0.0,86.596,0.0,0.0,0.0,0.0,0.0,0.0,13.715333333333334,13.715333333333334,13.715333333333334
2025-12-30,SURAJINDPP,IN9170U01027,BSE,8.85,0.0,0.0,46.437,0.0,0.0,0.0,0.0,0.0,0.0,65.8532,62.525666666666666,62.525666666666666
2025-12-30,JISLDVREQS,IN9175A01010,NSE,27.11,55.51,227073.36,409.01103,64.94399999999999,63.35555555555556,63.35555555555556,239723.92199999996,251673.13777777774,251673.13777777774,382.51727600000004,421.9208977777778,421.9208977777778
2025-12-30,SNLFPP,IN9201F01013,BSE,9.5,0.0,0.0,2.954,0.0,0.0,0.0,0.0,0.0,0.0,2846.819,2421.9424999999997,2421.9424999999997
2025-12-30,PATANGPP,IN9237C01014,BSE,8.43,0.0,0.0,1.459,0.0,0.0,0.0,0.0,0.0,0.0,5.86825,5.86825,5.86825
2025-12-17,JMJFINPP,IN9242Q01014,BSE,3.0,0.0,0.0,1530.288,0.0,0.0,0.0,0.0,0.0,0.0,1530.288,1530.288,1530.288
2025-12-30,APLABPP,IN9273A01047,BSE,61.62,0.0,0.0,455.552,0.0,0.0,0.0,0.0,0.0,0.0,234.84799999999996,197.43116666666663,197.43116666666663
2025-12-30,YARNPP,IN9564C01011,BSE,2.85,0.0,0.0,8.719,0.0,0.0,0.0,0.0,0.0,0.0,19.0084,19.14,19.14
2025-12-30,ECOPP,IN9638N01010,BSE,3.95,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,12.5664,10.991,10.991
2025-12-30,ACESEPP,IN9849B01026,BSE,137.2,0.0,0.0,789.426,0.0,0.0,0.0,0.0,0.0,0.0,5726.970499999999,5726.970499999999,5726.970499999999
2025-12-30,KRBL,INE001B01026,NSE,397.25,47.79,35217404.25,73776.14665000001,42.794,44.52444444444445,44.52444444444445,64196587.75,49542301.072222225,49542301.072222225,161636.7221,119242.6439,119242.6439
2025-12-30,PREMCO,INE001E01012,BSE,431.45,0.0,0.0,655.93,0.0,0.0,0.0,0.0,0.0,0.0,858.3432,823.1776666666668,823.1776666666668
2025-12-30,MDRNSTL,INE001F01019,BSE,15.2,0.0,0.0,50.076,0.0,0.0,0.0,0.0,0.0,0.0,30.9012,49.871,49.871
2025-12-30,RISAINTL,INE001O01029,BSE,0.63,0.0,0.0,113.788,0.0,0.0,0.0,0.0,0.0,0.0,75.72139999999999,71.3045,71.3045
2025-12-30,RELIANCE,INE002A01018,NSE,1539.8,56.32,7645695203.599999,13604745.435,50.62599999999999,51.14555555555555,51.14555555555555,5564825588.08,6685300547.422222,6685300547.422222,10882354.898980001,12835766.75441111,12835766.75441111
2025-12-30,SOFTSOL,INE002B01016,BSE,216.8,0.0,0.0,35.461,0.0,0.0,0.0,0.0,0.0,0.0,30.7776,45.77266666666667,45.77266666666667
2025-12-29,SAPL,INE002E01010,BSE,1951.0,0.0,0.0,15.608,0.0,0.0,0.0,0.0,0.0,0.0,15.608,15.608,15.608
2025-12-30,SJVN,INE002L01015,NSE,73.18,36.97,57020904.660000004,153384.403,39.775999999999996,38.39555555555556,38.39555555555556,111246058.828,93912814.48,93912814.48,297079.046452,252950.42944333336,252950.42944333336
2025-12-30,MGL,INE002S01010,NSE,1111.3,54.87,135340781.79999998,248396.33669999999,48.194,47.47666666666666,47.47666666666666,78611416.86,116640346.25555556,116640346.25555556,164466.2966,297498.7184777778,297498.7184777778
2025-12-30,SIEMENS,INE003A01024,NSE,3029.5,54.01,664766214.5,1226549.2666,48.406,52.95222222222222,52.95222222222222,379265486.56,521520554.81111115,521520554.81111115,758500.33518,946056.7952333333,946056.7952333333
2025-12-30,INTSTOIL,INE003B01014,BSE,34.8,0.0,0.0,4.035,0.0,0.0,0.0,0.0,0.0,0.0,9.5104,9.5104,9.5104
2025-12-30,MULLER,INE003F01015,BSE,250.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,7.529,7.529,7.529
