DATE,SYMBOL,ISIN,EXCHANGE,CLOSE,DELIV_PER,DELIVERY_TURNOVER,ATW,DELIV_PER_1W,DELIV_PER_1M,DELIV_PER_3M,DELIVERY_TURNOVER_1W,DELIVERY_TURNOVER_1M,DELIVERY_TURNOVER_3M,ATW_1W,ATW_1M,ATW_3M
2025-12-26,TIMETECHNO,INE508G01029,NSE,184.22,16.59,38123776.339999996,231634.1865,33.45399999999999,35.54142857142857,35.54142857142857,112715095.66199999,138607656.21,138607656.21,331115.37574200006,379825.8162371429,379825.8162371429
2025-12-24,BERYLSE,INE508J01015,BSE,26.41,0.0,0.0,30.075,0.0,0.0,0.0,0.0,0.0,0.0,2.6296666666666666,2.6296666666666666,2.6296666666666666
2025-12-26,RHL,INE508K01013,NSE,186.17,81.34,2262524.01,2787.52281,72.89,73.46714285714286,73.46714285714286,1616044.9600000002,1813404.9214285717,1813404.9214285717,2278.9653700000003,2479.191818571429,2479.191818571429
2025-12-24,JACKSON,INE508N01025,BSE,0.48,0.0,0.0,159.121,0.0,0.0,0.0,0.0,0.0,0.0,128.16133333333335,128.16133333333335,128.16133333333335
2025-12-24,GENNEX,INE509C01026,BSE,13.09,0.0,0.0,6840.067,0.0,0.0,0.0,0.0,0.0,0.0,2680.7416666666663,2680.7416666666663,2680.7416666666663
2025-12-26,CUPID,INE509F01029,NSE,479.5,45.3,552470789.5,1212210.0388,29.25,30.66,30.66,573930617.5899999,558949398.8714286,558949398.8714286,2048369.2151499998,1894372.5292142855,1894372.5292142855
2025-12-26,ENGINERSIN,INE510A01028,NSE,205.35,45.63,459549274.05,1011147.53502,46.952,47.43285714285714,47.43285714285714,109050435.84,103867004.39285715,103867004.39285715,227056.67963,215509.88429142858,215509.88429142858
2025-12-24,AGARWAL,INE510B01018,BSE,17.85,0.0,0.0,2.265,0.0,0.0,0.0,0.0,0.0,0.0,46.799666666666674,46.799666666666674,46.799666666666674
2025-12-24,ROYALIND,INE510H01015,BSE,6.9,0.0,0.0,485.04,0.0,0.0,0.0,0.0,0.0,0.0,1317.2176666666667,1317.2176666666667,1317.2176666666667
2025-12-24,ARMAN,INE510P01018,BSE,102.47,0.0,0.0,1072.057,0.0,0.0,0.0,0.0,0.0,0.0,2382.7070000000003,2382.7070000000003,2382.7070000000003
2025-12-24,PESB,INE510U01018,BSE,206.55,0.0,0.0,661.92,0.0,0.0,0.0,0.0,0.0,0.0,1045.1866666666667,1045.1866666666667,1045.1866666666667
2025-12-26,INOXGREEN,INE510W01014,NSE,211.72,49.32,102008601.48,207212.57756,53.25,52.25142857142857,52.25142857142857,243397346.02600002,186981982.76714286,186981982.76714286,463409.42897199997,356963.5671942857,356963.5671942857
2025-12-26,POONAWALLA,INE511C01022,NSE,473.0,40.89,170507040.0,417305.90544999996,40.362,42.037142857142854,42.037142857142854,166553406.53,146535019.92857143,146535019.92857143,408219.11499000003,350969.43874285714,350969.43874285714
2025-12-24,JYOTI,INE511D01012,BSE,86.79,0.0,0.0,1760.133,0.0,0.0,0.0,0.0,0.0,0.0,2715.0263333333332,2715.0263333333332,2715.0263333333332
2025-12-26,MMP,INE511Y01018,NSE,251.9,84.08,3548767.2,4235.78765,71.444,71.86857142857143,71.86857142857143,1941625.2100000002,1946230.607142857,1946230.607142857,2728.3080199999995,2694.5242,2694.5242
2025-12-24,FGP,INE512A01016,BSE,10.29,0.0,0.0,10.766,0.0,0.0,0.0,0.0,0.0,0.0,24.16,24.16,24.16
2025-12-26,FCSSOFT,INE512B01022,NSE,1.88,67.69,2555944.5999999996,3782.56427,54.742,58.50428571428571,58.50428571428571,2434721.27,2448750.0871428573,2448750.0871428573,4421.921512,4207.264341428572,4207.264341428572
2025-12-24,GOURMET,INE512D01028,BSE,12.25,0.0,0.0,1828.795,0.0,0.0,0.0,0.0,0.0,0.0,768.8069999999999,768.8069999999999,768.8069999999999
2025-12-26,SCHAEFFLER,INE513A01022,NSE,3803.8,60.93,98157059.0,161049.5501,57.222,58.10285714285715,58.10285714285715,109941780.6,97803852.52857144,97803852.52857144,183791.79294,163324.90651428574,163324.90651428574
2025-12-24,OCTAL,INE513C01010,BSE,25.77,0.0,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,64.10933333333334,64.10933333333334,64.10933333333334
